Model Type: WaveAnalyzer 1500S
Model Number: 1500S
Serial Number: WA000819
Firmware Version: 1.04
Software Version: 1.9.0
Trace Name: Trace A
Resolution Bandwidth: 150 MHz
Warnings: Normal,ETP1
Creation Time: 2025-07-11T10:57:16

Data:
Frequency [THz]	Wavelength [nm]	Absolute Power [mW]	Power X-Polarization [mW]	Power Y-Polarization [mW]
191.000150	1569.592788	4.077444E-5	6.046856E-6	3.473325E-5
191.000250	1569.591967	4.077444E-5	6.046856E-6	3.473325E-5
191.000350	1569.591145	4.077444E-5	6.046856E-6	3.473325E-5
191.000450	1569.590323	4.077444E-5	6.046856E-6	3.473325E-5
191.000550	1569.589501	4.081758E-5	6.065693E-6	3.474707E-5
191.000650	1569.588679	4.208482E-5	6.667280E-6	3.541688E-5
191.000750	1569.587858	4.184877E-5	6.596704E-6	3.525220E-5
191.000850	1569.587036	4.230388E-5	6.515250E-6	3.578488E-5
191.000950	1569.586214	4.143891E-5	6.257226E-6	3.518101E-5
191.001050	1569.585392	4.007148E-5	6.060960E-6	3.400740E-5
191.001150	1569.584571	3.946506E-5	6.071942E-6	3.339206E-5
191.001250	1569.583749	3.830967E-5	6.033483E-6	3.227212E-5
191.001350	1569.582927	3.691296E-5	5.680425E-6	3.122925E-5
191.001450	1569.582105	3.613259E-5	5.519171E-6	3.061588E-5
191.001550	1569.581284	3.502982E-5	5.251415E-6	2.977552E-5
191.001650	1569.580462	3.442165E-5	5.216956E-6	2.920966E-5
191.001750	1569.579640	3.298238E-5	5.027026E-6	2.795598E-5
191.001850	1569.578818	3.282217E-5	5.062050E-6	2.775725E-5
191.001950	1569.577996	3.227535E-5	4.757674E-6	2.752139E-5
191.002050	1569.577175	3.181091E-5	4.586210E-6	2.722618E-5
191.002150	1569.576353	3.022895E-5	4.742781E-6	2.548739E-5
191.002250	1569.575531	2.947416E-5	4.356840E-6	2.511477E-5
191.002350	1569.574709	2.738591E-5	4.094370E-6	2.329697E-5
191.002450	1569.573888	2.709343E-5	3.929027E-6	2.316407E-5
191.002550	1569.573066	2.682261E-5	4.011357E-6	2.280620E-5
191.002650	1569.572244	2.462785E-5	3.711453E-6	2.091697E-5
191.002750	1569.571422	2.380723E-5	3.608199E-6	2.019864E-5
191.002850	1569.570601	2.359627E-5	3.586235E-6	2.000943E-5
191.002950	1569.569779	2.332089E-5	3.288485E-6	2.003008E-5
191.003050	1569.568957	2.298683E-5	3.432601E-6	1.955370E-5
191.003150	1569.568135	2.168477E-5	3.292632E-6	1.839241E-5
191.003250	1569.567314	2.057578E-5	3.117475E-6	1.745909E-5
191.003350	1569.566492	1.913738E-5	2.934811E-6	1.619924E-5
191.003450	1569.565670	1.898077E-5	2.726775E-6	1.625432E-5
191.003550	1569.564848	1.787727E-5	2.780551E-6	1.509785E-5
191.003650	1569.564027	1.674453E-5	2.494107E-6	1.425283E-5
191.003750	1569.563205	1.602886E-5	2.371413E-6	1.366002E-5
191.003850	1569.562383	1.540466E-5	2.257753E-6	1.314637E-5
191.003950	1569.561561	1.395768E-5	2.127643E-6	1.182723E-5
191.004050	1569.560740	1.277758E-5	1.848405E-6	1.093040E-5
191.004150	1569.559918	1.253478E-5	1.927278E-6	1.060706E-5
191.004250	1569.559096	1.201269E-5	1.855586E-6	1.015639E-5
191.004350	1569.558274	1.164454E-5	1.871719E-6	9.773143E-6
191.004450	1569.557453	9.858819E-6	1.393700E-6	8.465589E-6
191.004550	1569.556631	9.501887E-6	1.229905E-6	8.270592E-6
191.004650	1569.555809	8.636819E-6	1.328000E-6	7.310230E-6
191.004750	1569.554988	8.037647E-6	1.163000E-6	6.875470E-6
191.004850	1569.554166	7.142895E-6	1.022360E-6	6.120426E-6
191.004950	1569.553344	6.705670E-6	1.021266E-6	5.684896E-6
191.005050	1569.552522	6.044436E-6	9.860978E-7	5.056883E-6
191.005150	1569.551701	5.084431E-6	7.059259E-7	4.378011E-6
191.005250	1569.550879	4.434733E-6	5.531469E-7	3.881498E-6
