Model Type: WaveAnalyzer 1500S
Model Number: 1500S
Serial Number: WA000819
Firmware Version: 1.04
Software Version: 1.9.0
Trace Name: Trace D
Resolution Bandwidth: 150 MHz
Warnings: Normal,ETP1
Creation Time: 2025-07-08T13:22:47

Data:
Frequency [THz]	Wavelength [nm]	Absolute Power [mW]	Power X-Polarization [mW]	Power Y-Polarization [mW]
191.000150	1569.592788	9.190620E-5	2.265394E-5	6.924602E-5
191.000250	1569.591967	9.190620E-5	2.265394E-5	6.924602E-5
191.000350	1569.591145	9.190620E-5	2.265394E-5	6.924602E-5
191.000450	1569.590323	9.190620E-5	2.265394E-5	6.924602E-5
191.000550	1569.589501	9.190620E-5	2.265394E-5	6.924602E-5
191.000650	1569.588679	9.174206E-5	2.348626E-5	6.824673E-5
191.000750	1569.587858	9.335670E-5	2.429108E-5	6.903487E-5
191.000850	1569.587036	9.515292E-5	2.371284E-5	7.143618E-5
191.000950	1569.586214	9.282719E-5	2.518601E-5	6.762023E-5
191.001050	1569.585392	9.128126E-5	2.566619E-5	6.559419E-5
191.001150	1569.584571	9.357351E-5	2.535081E-5	6.821694E-5
191.001250	1569.583749	9.895355E-5	2.626087E-5	7.268109E-5
191.001350	1569.582927	9.580332E-5	2.350327E-5	7.230514E-5
191.001450	1569.582105	9.459034E-5	2.333824E-5	7.122826E-5
191.001550	1569.581284	9.462175E-5	2.336048E-5	7.125558E-5
191.001650	1569.580462	9.352953E-5	2.284689E-5	7.066551E-5
191.001750	1569.579640	9.563626E-5	2.305326E-5	7.254943E-5
191.001850	1569.578818	9.497020E-5	2.485727E-5	7.008016E-5
191.001950	1569.577996	9.022222E-5	2.526231E-5	6.493289E-5
191.002050	1569.577175	8.857439E-5	2.579744E-5	6.280416E-5
191.002150	1569.576353	8.876717E-5	2.410490E-5	6.466591E-5
191.002250	1569.575531	9.235623E-5	2.313818E-5	6.920718E-5
191.002350	1569.574709	9.588499E-5	2.368089E-5	7.218574E-5
191.002450	1569.573888	8.729207E-5	2.186045E-5	6.541183E-5
191.002550	1569.573066	8.659013E-5	2.236844E-5	6.422233E-5
191.002650	1569.572244	8.797566E-5	2.282307E-5	6.510635E-5
191.002750	1569.571422	9.108746E-5	2.369281E-5	6.739127E-5
191.002850	1569.570601	9.157629E-5	2.457224E-5	6.701082E-5
191.002950	1569.569779	9.462044E-5	2.416389E-5	7.043943E-5
191.003050	1569.568957	9.215865E-5	2.483471E-5	6.732137E-5
191.003150	1569.568135	9.099987E-5	2.545391E-5	6.553495E-5
191.003250	1569.567314	9.493488E-5	2.476307E-5	7.015606E-5
191.003350	1569.566492	9.310675E-5	2.303445E-5	7.007589E-5
191.003450	1569.565670	9.250725E-5	2.300321E-5	6.949336E-5
191.003550	1569.564848	9.106439E-5	2.294193E-5	6.811337E-5
191.003650	1569.564027	8.697944E-5	2.245113E-5	6.451691E-5
191.003750	1569.563205	8.202347E-5	2.310013E-5	5.891491E-5
191.003850	1569.562383	8.629691E-5	2.388527E-5	6.238965E-5
191.003950	1569.561561	9.153120E-5	2.658230E-5	6.492338E-5
191.004050	1569.560740	9.204881E-5	2.688385E-5	6.516719E-5
191.004150	1569.559918	9.102243E-5	2.391272E-5	6.709755E-5
191.004250	1569.559096	8.908100E-5	2.374889E-5	6.532242E-5
191.004350	1569.558274	8.845741E-5	2.352408E-5	6.489229E-5
191.004450	1569.557453	8.646239E-5	2.225125E-5	6.422392E-5
191.004550	1569.556631	8.660349E-5	2.351829E-5	6.306049E-5
191.004650	1569.555809	9.340137E-5	2.414524E-5	6.924618E-5
191.004750	1569.554988	9.474891E-5	2.347698E-5	7.128820E-5
191.004850	1569.554166	9.469277E-5	2.430317E-5	7.041192E-5
191.004950	1569.553344	0.000101	2.379470E-5	7.695501E-5
191.005050	1569.552522	9.642129E-5	2.256238E-5	7.386759E-5
191.005150	1569.551701	8.821354E-5	2.141790E-5	6.677123E-5
191.005250	1569.550879	8.924046E-5	2.304560E-5	6.618937E-5
191.005350	1569.550057	9.156398E-5	2.244294E-5	6.909293E-5
191.005450	1569.549235	8.929148E-5	2.283585E-5	6.645706E-5
191.005550	1569.548414	9.064321E-5	2.335502E-5	6.729775E-5
191.005650	1569.547592	9.082101E-5	2.452561E-5	6.631362E-5
191.005750	1569.546770	9.274584E-5	2.495575E-5	6.777969E-5
191.005850	1569.545948	9.113896E-5	2.262100E-5	6.849106E-5
191.005950	1569.545127	8.770623E-5	2.235086E-5	6.533613E-5
191.006050	1569.544305	8.986800E-5	2.280748E-5	6.705641E-5
191.006150	1569.543483	8.547113E-5	2.223505E-5	6.323161E-5
191.006250	1569.542662	8.212692E-5	2.335306E-5	5.880171E-5
191.006350	1569.541840	8.626070E-5	2.378180E-5	6.253752E-5
191.006450	1569.541018	8.714928E-5	2.303263E-5	6.411163E-5
191.006550	1569.540196	8.725809E-5	2.355756E-5	6.369025E-5
191.006650	1569.539375	8.814881E-5	2.234604E-5	6.576590E-5
191.006750	1569.538553	8.754562E-5	2.182816E-5	6.571992E-5
191.006850	1569.537731	8.442725E-5	2.163316E-5	6.277834E-5
191.006950	1569.536910	8.464919E-5	2.223749E-5	6.241770E-5
191.007050	1569.536088	8.488698E-5	2.308353E-5	6.183528E-5
191.007150	1569.535266	8.099175E-5	2.277765E-5	5.821898E-5
191.007250	1569.534444	8.037772E-5	2.301619E-5	5.734363E-5
191.007350	1569.533623	8.741415E-5	2.313068E-5	6.426228E-5
191.007450	1569.532801	8.939266E-5	2.329284E-5	6.609734E-5
191.007550	1569.531979	8.704114E-5	2.271627E-5	6.434490E-5
191.007650	1569.531158	8.509708E-5	2.353657E-5	6.157304E-5
191.007750	1569.530336	8.208529E-5	2.350138E-5	5.858911E-5
191.007850	1569.529514	8.015316E-5	2.225646E-5	5.790930E-5
191.007950	1569.528692	8.038517E-5	2.206290E-5	5.832741E-5
191.008050	1569.527871	8.197507E-5	2.269430E-5	5.930556E-5
191.008150	1569.527049	8.316079E-5	2.275622E-5	6.041817E-5
191.008250	1569.526227	8.600647E-5	2.350415E-5	6.248461E-5
191.008350	1569.525406	8.207002E-5	2.222667E-5	5.985656E-5
191.008450	1569.524584	8.165687E-5	2.065128E-5	6.100147E-5
191.008550	1569.523762	8.176209E-5	2.120078E-5	6.059733E-5
191.008650	1569.522940	8.360592E-5	2.233474E-5	6.126902E-5
191.008750	1569.522119	7.801909E-5	2.126623E-5	5.674795E-5
191.008850	1569.521297	7.524509E-5	2.130896E-5	5.393063E-5
191.008950	1569.520475	8.026616E-5	2.176737E-5	5.851160E-5
191.009050	1569.519654	8.496466E-5	2.144760E-5	6.353012E-5
191.009150	1569.518832	8.269174E-5	2.114455E-5	6.153561E-5
191.009250	1569.518010	8.030163E-5	2.142851E-5	5.884276E-5
191.009350	1569.517189	8.220603E-5	2.133903E-5	6.085920E-5
191.009450	1569.516367	8.281641E-5	2.156518E-5	6.121977E-5
191.009550	1569.515545	8.268867E-5	2.248969E-5	6.021962E-5
191.009650	1569.514723	7.939325E-5	2.100941E-5	5.839918E-5
191.009750	1569.513902	7.898803E-5	2.050639E-5	5.847881E-5
191.009850	1569.513080	7.900902E-5	2.096280E-5	5.806905E-5
191.009950	1569.512258	7.941706E-5	2.224607E-5	5.718402E-5
191.010050	1569.511437	8.067888E-5	2.162770E-5	5.900601E-5
191.010150	1569.510615	8.203045E-5	2.118032E-5	6.084638E-5
191.010250	1569.509793	8.350048E-5	2.148907E-5	6.199594E-5
191.010350	1569.508972	8.376855E-5	2.014424E-5	6.361472E-5
191.010450	1569.508150	8.174969E-5	1.988235E-5	6.184115E-5
191.010550	1569.507328	7.896770E-5	2.064289E-5	5.834777E-5
191.010650	1569.506507	8.151261E-5	2.261917E-5	5.888493E-5
191.010750	1569.505685	8.163155E-5	2.225770E-5	5.938932E-5
191.010850	1569.504863	7.899628E-5	2.147072E-5	5.752105E-5
191.010950	1569.504042	8.068083E-5	2.157887E-5	5.912686E-5
191.011050	1569.503220	8.115345E-5	2.166869E-5	5.950619E-5
191.011150	1569.502398	7.867918E-5	2.125902E-5	5.743003E-5
191.011250	1569.501576	7.937075E-5	2.109154E-5	5.831269E-5
191.011350	1569.500755	8.429071E-5	2.277030E-5	6.150772E-5
191.011450	1569.499933	8.414926E-5	2.323075E-5	6.092579E-5
191.011550	1569.499111	7.979871E-5	2.359486E-5	5.621469E-5
191.011650	1569.498290	7.769809E-5	2.296487E-5	5.475238E-5
191.011750	1569.497468	7.682653E-5	2.264417E-5	5.419860E-5
191.011850	1569.496646	7.734589E-5	2.081860E-5	5.653823E-5
191.011950	1569.495825	7.816939E-5	2.004301E-5	5.814562E-5
191.012050	1569.495003	7.979552E-5	2.047461E-5	5.933496E-5
191.012150	1569.494181	8.176553E-5	2.136660E-5	6.038394E-5
191.012250	1569.493360	7.921344E-5	2.192434E-5	5.728387E-5
191.012350	1569.492538	8.058907E-5	2.042558E-5	6.017272E-5
191.012450	1569.491716	8.300117E-5	2.055975E-5	6.243838E-5
191.012550	1569.490895	8.183050E-5	2.135568E-5	6.049924E-5
191.012650	1569.490073	7.823959E-5	2.223556E-5	5.604197E-5
191.012750	1569.489251	7.865394E-5	2.260614E-5	5.604970E-5
191.012850	1569.488430	8.360109E-5	2.351819E-5	6.010156E-5
191.012950	1569.487608	8.149816E-5	2.289504E-5	5.860744E-5
191.013050	1569.486786	7.990016E-5	2.217452E-5	5.773035E-5
191.013150	1569.485965	8.101766E-5	2.126471E-5	5.976631E-5
191.013250	1569.485143	8.423215E-5	2.302917E-5	6.123042E-5
191.013350	1569.484321	8.740529E-5	2.388730E-5	6.349598E-5
191.013450	1569.483500	8.576654E-5	2.356052E-5	6.220451E-5
191.013550	1569.482678	8.658164E-5	2.337787E-5	6.319125E-5
191.013650	1569.481856	8.407546E-5	2.350410E-5	6.057839E-5
191.013750	1569.481035	8.042573E-5	2.252614E-5	5.789800E-5
191.013850	1569.480213	7.974559E-5	2.305152E-5	5.666682E-5
191.013950	1569.479391	8.413392E-5	2.321098E-5	6.094732E-5
191.014050	1569.478570	8.616002E-5	2.278054E-5	6.336652E-5
191.014150	1569.477748	8.925317E-5	2.451872E-5	6.472707E-5
191.014250	1569.476926	8.844143E-5	2.545837E-5	6.299534E-5
191.014350	1569.476105	8.765440E-5	2.512876E-5	6.251668E-5
191.014450	1569.475283	8.320975E-5	2.421381E-5	5.901781E-5
191.014550	1569.474462	8.681385E-5	2.455658E-5	6.225187E-5
191.014650	1569.473640	9.141218E-5	2.438256E-5	6.701417E-5
191.014750	1569.472818	9.112797E-5	2.286134E-5	6.827583E-5
